model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Make
 A1,2017.0,12500.0,Manual,15735.0,Petrol,150.0,55.4,1.4,audi
 A6,2016.0,16500.0,Automatic,36203.0,Diesel,20.0,64.2,2.0,audi
 A1,2016.0,11000.0,Manual,29946.0,Petrol,30.0,55.4,1.4,audi
 A4,2017.0,16800.0,Automatic,25952.0,Diesel,145.0,67.3,2.0,audi
 A3,2019.0,17300.0,Manual,1998.0,Petrol,145.0,49.6,1.0,audi
 A1,2016.0,13900.0,Automatic,32260.0,Petrol,30.0,58.9,1.4,audi
 A6,2016.0,13250.0,Automatic,76788.0,Diesel,30.0,61.4,2.0,audi
 A4,2016.0,11750.0,,75185.0,Diesel,20.0,70.6,2.0,audi
 A3,2015.0,10200.0,Manual,46112.0,Petrol,20.0,60.1,1.4,audi
 A1,2016.0,12000.0,Manual,22451.0,,30.0,55.4,1.4,audi
 A3,2017.0,16100.0,Manual,28955.0,Petrol,145.0,58.9,1.4,audi
 A6,2016.0,16500.0,Automatic,52198.0,Diesel,,57.6,2.0,audi
 Q3,2016.0,17000.0,Manual,44915.0,Diesel,145.0,52.3,2.0,audi
 A3,2017.0,16400.0,Manual,21695.0,Petrol,30.0,58.9,1.4,audi
 A6,2015.0,15400.0,,47348.0,Diesel,30.0,61.4,2.0,
 A3,2017.0,14500.0,Automatic,26156.0,,145.0,58.9,1.4,audi
 Q3,2016.0,15700.0,,28396.0,Diesel,145.0,53.3,2.0,audi
 A3,2014.0,13900.0,Automatic,30516.0,Petrol,30.0,56.5,1.4,audi
 Q5,2016.0,19000.0,Automatic,,Diesel,200.0,47.1,2.0,audi
 Q3,2014.0,17000.0,Manual,34110.0,Petrol,145.0,47.9,1.4,
 A5,2017.0,17300.0,Automatic,37100.0,Diesel,145.0,67.3,2.0,audi
 Q5,2016.0,20200.0,Automatic,23714.0,Diesel,200.0,47.1,2.0,audi
 A5,2017.0,22500.0,Automatic,21649.0,Diesel,145.0,58.9,3.0,audi
 A6,2015.0,17500.0,Automatic,62748.0,Diesel,150.0,53.3,3.0,audi
 Q5,2016.0,20000.0,Automatic,23789.0,Diesel,200.0,47.1,2.0,audi
 A4,2017.0,18500.0,Automatic,17418.0,Diesel,145.0,,2.0,audi
 A5,2017.0,19500.0,Automatic,33300.0,Diesel,145.0,61.4,2.0,audi
 A1,2018.0,15800.0,Manual,10793.0,Petrol,145.0,56.5,1.4,audi
 A4,2018.0,17200.0,Automatic,25138.0,Diesel,145.0,70.6,2.0,audi
 A6,2015.0,14000.0,Manual,61176.0,Diesel,30.0,62.8,2.0,audi
 A1,2015.0,9500.0,,54754.0,,0.0,76.3,1.6,audi
 Q3,2017.0,16500.0,Manual,21369.0,Petrol,,51.4,1.4,audi
 Q3,2014.0,15000.0,Automatic,39190.0,Diesel,205.0,47.9,2.0,audi
 Q3,2017.0,16000.0,Automatic,47482.0,Petrol,150.0,47.9,1.4,audi
